timestamp,frame_number,left_eye_x,left_eye_y,right_eye_x,right_eye_y,gaze_direction
1781820726.362389,1,740,402,629,397,Center
1781820726.520714,2,742,401,630,395,Center
1781820726.587811,3,742,400,632,394,Center
1781820726.6207051,4,743,399,632,394,Center
1781820726.652669,5,743,399,633,394,Center
1781820726.686988,6,744,399,633,394,Center
1781820726.721577,7,744,399,633,393,Center
1781820726.755667,8,744,398,633,393,Center
1781820726.7885811,9,744,398,633,392,Center
1781820726.819934,10,744,398,633,393,Center
1781820726.886255,11,744,400,634,394,Center
1781820726.921924,12,744,400,634,395,Center
1781820726.953208,13,745,400,633,395,Center
1781820726.986327,14,745,400,633,395,Center
1781820727.019572,15,744,400,634,395,Center
1781820727.053094,16,744,401,634,396,Center
1781820727.08588,17,744,402,634,396,Center
1781820727.29269,18,744,403,634,397,Center
1781820727.425929,19,745,402,635,397,Center
1781820727.453299,20,745,402,635,397,Center
1781820727.486641,21,745,403,635,397,Center
1781820727.5201962,22,745,403,635,397,Center
1781820727.5529568,23,745,403,635,397,Center
1781820727.586621,24,745,404,635,398,Center
1781820727.620847,25,744,404,635,398,Center
1781820727.652412,26,744,404,634,398,Center
1781820727.685794,27,744,404,634,398,Center
1781820727.7193248,28,744,404,634,399,Center
1781820727.753827,29,744,404,634,399,Center
1781820727.785952,30,744,404,634,399,Center
1781820727.823667,31,744,404,634,399,Center
1781820727.854347,32,744,404,634,399,Center
1781820727.887469,33,744,405,634,399,Center
1781820727.9194381,34,743,405,634,399,Center
1781820727.9522848,35,744,405,634,400,Center
1781820727.987818,36,744,404,635,399,Center
1781820728.020462,37,745,404,636,399,Center
1781820728.055368,38,745,404,636,398,Center
1781820728.088866,39,746,403,636,398,Center
1781820728.120202,40,746,404,636,398,Center
1781820728.1535091,41,746,403,636,398,Center
1781820728.187274,42,746,403,637,398,Center
1781820728.2233212,43,746,403,637,398,Center
1781820728.2551758,44,747,403,637,398,Center
1781820728.286658,45,749,403,639,396,Center
1781820728.323027,46,749,402,639,396,Center
1781820728.356142,47,750,402,639,396,Center
1781820728.3872,48,750,402,639,396,Center
1781820728.422244,49,750,401,639,395,Center
1781820728.455044,50,750,401,639,395,Center
1781820728.487686,51,750,402,639,395,Center
1781820728.52134,52,750,401,640,395,Center
1781820728.5552928,53,750,402,640,395,Center
1781820728.588114,54,750,401,640,395,Center
1781820728.621289,55,749,401,639,395,Center
